Electric Range,Predicted_Electric_Range
53.0,51.5299588603375
53.0,66.83027677568316
53.0,45.17789034591988
84.0,178.04833404300007
238.0,136.02927882317454
21.0,-59.857495257791015
53.0,69.101237225761
53.0,74.0854974656686
53.0,60.59447445721162
38.0,108.06344947413163
19.0,29.67737100920931
238.0,161.12354233408405
53.0,53.66068012692995
14.0,17.465651213147794
53.0,48.55477090956265
53.0,76.69731873810088
238.0,174.1607819975252
53.0,60.631004883762216
53.0,71.0985681395905
18.0,-28.301885450608097
53.0,51.686139738725615
53.0,59.03056568635657
75.0,183.41078234578163
53.0,68.99959084389411
200.0,169.20044175812654
215.0,154.82843773527566
84.0,159.41483644871914
249.0,148.01097056433355
72.0,121.75460922827187
53.0,86.49039056975016
21.0,-65.24271272699116
53.0,59.769953319271735
53.0,56.64531705080299
53.0,51.18349310474878
53.0,49.46913624394074
53.0,84.91253389122721
53.0,68.80347154969786
53.0,56.97111556188611
53.0,70.22433816793637
200.0,172.29982967471005
25.0,-43.53554094521678
25.0,7.6793196412036195
53.0,51.97064304109517
53.0,70.6999231147056
53.0,80.06474641882232
53.0,62.104371423862176
53.0,53.43918972516258
84.0,175.3781224413251
220.0,137.8061086530579
53.0,81.32157148652186
53.0,54.88636184310599
220.0,136.7389173456104
32.0,68.89863582838007
53.0,68.19883350971213
215.0,154.48312709401944
53.0,70.81384174626146
53.0,63.56501191542338
53.0,53.375937209275435
53.0,88.14135871383769
53.0,66.58129827193625
215.0,144.704079486517
33.0,50.7866500417731
53.0,55.060535402306414
53.0,63.143578697927296
72.0,118.26050956016115
53.0,80.70891685434617
53.0,59.812742362621066
53.0,70.28550796373747
53.0,95.63160365076328
53.0,58.96541755886574
238.0,161.18612283196126
53.0,84.01968742105964
42.0,84.51912337464455
21.0,-61.24407769692334
53.0,54.04256580333458
53.0,69.13285281552089
110.0,146.95778712339234
53.0,62.40977094411937
53.0,87.10241094591038
25.0,-17.278499748994363
53.0,53.08936388549773
53.0,45.96011657755298
53.0,73.40184252636391
33.0,54.8181919708004
53.0,55.15040684973792
54.0,56.486091024649795
53.0,67.79350366591825
53.0,52.092510756789125
53.0,80.92725341834739
53.0,65.72098467045726
53.0,66.95720752701163
19.0,14.037790430236782
26.0,-18.389904180447047
53.0,66.26414109491452
42.0,65.92845186729392
53.0,66.31202924529498
53.0,76.04736316666094
215.0,154.0675508178174
208.0,172.9133945019421
53.0,54.42387140599749
53.0,84.05639616103872
53.0,61.84521847494034
53.0,46.991163508857426
81.0,168.6180069088805
53.0,65.28411573370977
53.0,68.14134290440415
53.0,57.46856402257254
53.0,69.38446582070901
53.0,48.833435167856805
42.0,73.91204192919395
33.0,46.5878925045763
53.0,68.59576184934849
47.0,112.75184532348067
53.0,69.59568186342221
53.0,72.04172079235286
53.0,42.342963333489024
53.0,69.6435666815596
53.0,67.02575079697999
53.0,74.92259738696885
53.0,71.05325159606582
53.0,80.21913146364386
151.0,140.5642411823501
53.0,62.88104016332363
53.0,48.41823480374296
150.0,154.00796449051995
53.0,61.704057947034016
53.0,39.96308391531056
53.0,68.82291720726062
21.0,-60.11334365734365
220.0,158.71375769867882
53.0,57.35826865852869
53.0,62.88018242571707
53.0,81.13070014813275
53.0,91.37627253557002
53.0,62.05120473341958
53.0,68.06406491640519
53.0,49.82296054108883
75.0,185.49148651931318
53.0,43.20711549408588
37.0,136.8151366004604
53.0,69.17259440937778
151.0,149.09344210263225
53.0,51.20046192830341
53.0,60.336629419602104
53.0,63.05893601420394
32.0,79.05186554900138
150.0,151.13490936633025
53.0,52.98950411884289
107.0,162.55540937984915
53.0,58.99312649778585
53.0,50.38037480589992
32.0,60.00994783335773
53.0,79.06922154856875
53.0,54.47369374327536
53.0,64.54354884773784
220.0,152.40204096591333
32.0,64.6550362771086
19.0,12.77824874563521
53.0,66.99268573378504
53.0,79.09572907954862
215.0,153.06837028802693
53.0,69.84036652906798
21.0,-35.39254070881725
53.0,66.26257405908109
53.0,70.298490173358
31.0,67.43320213080733
149.0,141.68319575311034
53.0,50.6375601914624
53.0,59.24783803649916
38.0,110.02184014616068
210.0,163.9090538971941
53.0,74.41365265146305
53.0,62.21159769445512
42.0,67.90289654832304
25.0,-22.60823980280111
53.0,56.023078639263986
97.0,113.19618396462465
53.0,74.75059221968695
32.0,63.29765984477126
19.0,30.798372074314102
53.0,52.89788419393881
53.0,60.136956934547925
32.0,79.16140692739282
53.0,84.34379054416786
53.0,76.52835182841227
53.0,62.57640617652214
53.0,78.80837066244567
53.0,58.48833902118349
53.0,55.864013571932446
26.0,-30.16120293822314
32.0,63.219129780933145
53.0,60.67953097279678
53.0,71.78878665112279
53.0,62.14100718603004
53.0,47.64069884167111
53.0,60.364456139803224
215.0,155.1140585927933
53.0,49.26142909095506
39.0,71.45452139680856
53.0,61.595399915313465
204.0,141.77795056080504
73.0,208.77973813004064
42.0,65.26079103627126
6.0,34.489806627316284
53.0,66.95948638573464
14.0,-11.08984390560363
53.0,76.93835318399215
49.0,66.5174298316997
53.0,86.32389837579103
322.0,151.81368657026906
53.0,69.5170958062954
53.0,64.61091197782662
32.0,63.19669640499342
291.0,142.63378398211353
53.0,54.530546972644515
84.0,170.2281367594842
53.0,73.53677653551858
53.0,66.39640304264321
53.0,69.68505303189158
53.0,61.633505844147294
53.0,84.16889387727133
53.0,62.30453486168699
53.0,68.49335814498772
18.0,-31.999108302661625
53.0,83.53728693109588
291.0,149.28898834037682
53.0,44.6566384639882
33.0,100.16966614074045
42.0,65.7495119144005
53.0,64.14466501108109
200.0,167.512889770951
215.0,149.0901324826773
83.0,183.05852227620926
53.0,75.51451449615706
53.0,77.56250412675581
53.0,64.06832877614943
53.0,62.80864500919415
53.0,62.25481633913296
53.0,87.17471069695603
220.0,157.23584699501953
53.0,52.437134041385434
13.0,0.8444987795664929
53.0,47.25800506860833
40.0,36.26885682954162
53.0,87.3848863738749
215.0,155.66378372405597
42.0,67.91197933816875
53.0,55.68365713908133
53.0,61.657667899249645
53.0,50.085903354061884
53.0,59.685250747788814
25.0,5.051773617276922
53.0,50.02217442859546
53.0,83.11073619545641
26.0,-33.863472744764294
220.0,144.4601437500096
53.0,57.98088215937605
42.0,78.33612815527886
53.0,58.22955083355191
53.0,60.368469472407014
53.0,75.06248756430432
107.0,163.48495217681193
53.0,56.25490467833879
53.0,60.86607038127113
53.0,91.30325431766687
53.0,66.06310389174178
220.0,138.8197832395308
53.0,78.75499706876872
53.0,85.34270577544521
53.0,73.21880941356358
239.0,148.47634225590446
25.0,-36.8317166287452
53.0,55.10546554772009
21.0,-46.36684220461757
53.0,73.67107429666066
215.0,150.16491118291742
308.0,142.98232981980982
53.0,70.71308883587335
53.0,68.36315358255524
53.0,52.44379245433083
84.0,180.08489971134986
6.0,24.78500222270668
53.0,46.91593913928227
53.0,66.26240765192779
53.0,53.99918084613455
53.0,42.75534759766742
53.0,88.85311516327783
53.0,71.11993030221493
215.0,151.83013671085791
53.0,40.47075634021894
53.0,65.70198103952134
53.0,53.67096079070325
53.0,49.71803621073923
53.0,46.5280350355315
53.0,71.89903478771157
289.0,155.30294476982817
53.0,85.48911937320372
259.0,141.98126067344128
215.0,144.02690040123707
22.0,-19.958687810481933
53.0,45.7054766768415
53.0,69.34283332537598
53.0,75.30837665894069
208.0,175.15536756216898
291.0,152.1834895277716
215.0,160.44995964978443
208.0,179.87453258085588
208.0,191.5165488459461
53.0,54.324087189888814
53.0,58.26071135897655
53.0,54.94521584307222
53.0,52.045757245745335
53.0,65.21322192465595
53.0,51.516382201407396
53.0,71.12302463574451
53.0,77.551625954271
53.0,67.7510256192545
53.0,81.39808815789002
53.0,69.58005297531781
149.0,143.21018667730823
220.0,8.871960254778969
53.0,58.45181243462139
53.0,49.52081008924142
53.0,73.30242553330027
84.0,177.4036879293417
25.0,-39.672968289734854
53.0,86.60608397350734
53.0,74.78158482837898
53.0,62.25533706657734
289.0,138.39132341938966
53.0,68.97926349951013
238.0,164.65817891451297
53.0,80.1468517606263
53.0,44.24162721923494
53.0,68.02256472051522
42.0,62.56337568443996
53.0,63.03459017386194
42.0,63.79850925712526
53.0,72.04135505872546
53.0,77.5845419580146
53.0,63.34418538040336
54.0,64.55496235771716
53.0,67.09184608687065
53.0,75.99218810569437
33.0,33.81616075163038
19.0,8.524346707970835
21.0,-52.13965445357462
53.0,51.82039429768338
53.0,60.87861631232954
220.0,155.58787157054758
53.0,58.06375299265346
249.0,148.08801457418303
53.0,67.83866148480593
210.0,165.32054144715948
53.0,82.7825762478169
26.0,-26.94820450394036
53.0,85.89393144354835
53.0,59.27644150134438
53.0,76.09967380189482
84.0,170.51480362858274
125.0,156.5115929748281
40.0,39.63749034063949
39.0,54.915383879422734
210.0,166.51566926157102
53.0,83.54689689264342
53.0,86.25608912798634
53.0,71.58633301138616
27.0,-8.08468056240963
21.0,-46.91091033118573
53.0,62.26177237388765
53.0,66.99396850976336
215.0,148.54148542481562
53.0,79.35823042666016
19.0,35.8968122072838
53.0,51.63092783722095
53.0,61.894110680383164
53.0,73.40836023987504
42.0,68.10264006900252
53.0,49.8282340317528
53.0,85.08180788036407
6.0,30.094249916619447
53.0,53.343414143928385
53.0,59.492453436600044
53.0,68.57609398571367
125.0,169.67019750109466
53.0,75.87062646816776
32.0,64.79131726791093
53.0,61.104596298595425
35.0,57.04803308415285
53.0,59.47351278998394
53.0,71.10657789006655
53.0,62.07652138989215
53.0,60.256456248273025
26.0,-41.438267174999055
53.0,74.75789157421968
53.0,68.16794647349889
215.0,164.78091669931746
37.0,60.23993223560683
53.0,69.0543306367108
53.0,53.3719804949651
42.0,83.48548415138794
53.0,64.61185156314605
53.0,60.22988673418149
53.0,54.29526423653442
38.0,111.26608331658645
32.0,88.06325320722681
53.0,71.34147526412562
53.0,99.55515219221707
53.0,72.32909261091118
53.0,65.72437103059201
53.0,65.25642399131902
19.0,4.559864884613489
266.0,150.0458789065815
53.0,63.39343328207906
84.0,166.04197246860713
53.0,50.002530151818064
53.0,68.817356250991
53.0,49.11952208670118
84.0,179.14129860971298
53.0,75.34182369587506
53.0,74.08112122129387
126.0,88.22385468629363
53.0,83.58119885865744
53.0,66.75401703765237
322.0,146.8986517690355
53.0,68.28368304218748
53.0,64.52012378553627
38.0,60.235726911138045
53.0,56.1272917775932
53.0,77.41474303921859
53.0,67.94076582539128
53.0,82.16522866692685
238.0,158.34642652738694
53.0,61.40802481096034
53.0,71.94623950711684
53.0,53.337505232106196
38.0,85.21056214076816
53.0,82.75433458565385
53.0,58.020535072282655
53.0,77.41022606601473
53.0,56.19296749523346
53.0,43.88523825921584
37.0,68.36357521942409
53.0,68.33539483232016
53.0,65.02769851592893
53.0,58.65559523486445
53.0,82.7693938986049
220.0,152.11933243079693
53.0,62.1875416925468
53.0,54.67721334999078
53.0,70.20182125346764
53.0,67.01168753668753
25.0,-41.737250132719055
25.0,-42.11008016870619
25.0,-49.15689334523631
53.0,64.47698339694762
53.0,73.7385821653952
53.0,74.85585796895612
53.0,66.31837903565611
53.0,51.28121060979174
53.0,60.58600118014874
53.0,76.43228066795564
53.0,49.547029275527166
220.0,151.79926823737333
238.0,152.13999227510067
38.0,128.58822380667698
249.0,159.18465703171387
53.0,69.94332237149501
53.0,83.45731103632716
266.0,149.0574984079867
53.0,54.173367403920565
23.0,-59.78850263403001
53.0,62.67960308299371
34.0,52.54199869770673
39.0,46.28633455258387
53.0,53.87144712856389
53.0,58.03584200854675
53.0,67.20706000604696
53.0,50.5566327379056
53.0,71.48236940345669
53.0,78.49409254927741
53.0,68.55202997272136
21.0,-41.62505974954547
53.0,74.03872349461017
220.0,144.33374325914338
215.0,154.39415239573282
84.0,158.77328149956156
53.0,50.31598803135421
53.0,36.73699536867207
53.0,66.63694310200663
53.0,57.59147253069386
53.0,76.0956037004944
53.0,53.937110978600685
53.0,77.91390958512784
53.0,45.26364680811821
215.0,157.89758833131782
53.0,87.61506672701216
53.0,53.02045526180882
53.0,56.79231801288552
84.0,158.20130163379508
53.0,74.45033344294643
53.0,62.29015610317583
38.0,113.51854243737034
53.0,68.81399962478463
53.0,54.61447790954844
215.0,152.98705941077787
53.0,65.17797419888666
53.0,66.30378791072872
42.0,86.07312817110505
47.0,111.22730992254219
